id,name
0,alternet.org
1,beforeitsnews.com
2,breakpoint.org
3,undergroundhealth.com
4,vdare.com
5,washingtonexaminer.com
6,willyloman.wordpress.com
7,washingtonsblog.com
8,awarenessact.com
9,canadafreepress.com
10,christianpost.com
11,collectivelyconscious.net
12,charismanews.com
13,strategic-culture.org
14,naturalnews.com
15,www.newsmax.com
16,nationalreview.com
17,21stcenturywire.com
18,cnnnext.com
19,barenakedislam.com
20,americanlookout.com
21,breitbart.com
22,awm.com
23,anonhq.com
24,bipartisanreport.com
25,unz.com
26,city-journal.org
27,blackagendareport.com
28,wallstreetonparade.com
